,,UTCI,,IDEAM CI,,DISTORTION,SILHOUETTE CF
n clusters,,abs dev,SD,abs dev,SD,,
,4,1.85,2.42,1.39,2.59,0.02,0.29
,5,3.1,4.21,1.38,2.42,0.04,0.17
,6,1.05,1.17,0.54,0.48,0.01,0.31
,7,3.19,3.83,4.32,3.38,0.04,0.34
,8,1.8,1.49,1.09,0.56,0.01,0.23
,9,2.05,2.49,1.68,2.59,0.02,0.22
,10,3.12,2.86,1.18,1.1,0.02,0.48
,11,1.85,2.21,1.71,1.68,0.02,0.25
,12,1.58,1.68,0.68,0.94,0.01,0.35
,13,1.57,1.56,0.87,0.62,0.01,0.21
,14,2.18,1.92,0.95,0.66,0.01,0.27
,15,1.67,2.03,0.63,1.14,0.01,0.13
,16,2.41,1.65,1.57,0.48,0.02,0.34
,17,3.01,2.33,1.37,0.76,0.01,0.13
,18,2.04,2.56,2.5,2.37,0.02,0.32
,19,2.3,2.17,1.3,0.8,0.01,0.23
,means:2.2,2.25,1.41,1.4,0.02,0.28
