rh,ws,at,vp,t,vpt
82.90,0.42,12.93,12.50,13.10,17.23
84.90,0.42,13.03,12.80,13.10,17.32
83.50,0.36,13.64,13.00,13.60,17.89
80.70,0.08,14.20,12.90,14.00,18.26
80.70,0.49,13.91,12.90,14.00,18.26
72.80,0.59,12.68,11.20,13.40,17.10
83.80,0.60,14.00,13.40,14.00,18.42
75.60,1.15,12.56,11.70,13.50,17.36
87.80,0.81,14.85,14.60,14.60,19.42
92.00,0.84,14.53,14.90,14.20,19.12
88.20,0.79,14.10,14.10,14.00,18.65
84.70,1.03,13.10,13.10,13.50,17.82
84.10,0.67,13.45,13.10,13.60,17.92
84.80,0.57,13.69,13.30,13.70,18.09
83.40,0.48,14.32,13.50,14.20,18.66
82.90,0.09,14.83,13.60,14.40,18.89
83.00,0.61,14.59,13.70,14.50,19.02
72.60,0.80,13.27,11.60,14.00,17.83
81.80,0.76,14.56,13.60,14.60,19.09
75.70,1.45,12.98,12.10,14.00,17.99
88.50,0.82,15.28,15.00,14.90,19.85
92.10,0.98,14.96,15.30,14.60,19.65
89.00,1.03,14.63,14.70,14.50,19.35
84.60,1.09,17.92,16.60,17.20,22.68
84.00,0.88,18.16,16.60,17.30,22.78
84.50,0.76,18.41,16.80,17.40,22.94
84.40,0.66,19.01,17.20,17.80,23.48
82.80,0.06,19.60,17.10,18.00,23.64
85.30,0.61,19.38,17.60,18.00,23.81
76.50,0.75,18.16,15.40,17.60,22.68
81.20,0.78,19.66,17.30,18.50,24.21
78.00,1.61,17.65,15.70,17.60,22.78
87.40,0.93,19.85,18.50,18.40,24.51
90.50,1.10,19.53,18.80,18.10,24.30
88.10,1.30,19.23,18.30,18.10,24.14
81.70,1.14,22.20,19.70,20.50,27.00
80.30,1.23,22.31,19.60,20.70,27.17
80.60,1.14,22.54,19.80,20.80,27.33
81.10,0.91,23.16,20.30,21.10,27.80
81.70,0.26,23.38,20.20,20.90,27.57
85.60,0.69,23.55,21.30,21.00,28.03
78.20,0.80,22.44,19.10,20.70,27.00
81.00,0.89,23.87,20.90,21.60,28.50
78.60,1.89,21.71,19.20,20.70,27.04
83.80,1.01,23.89,21.50,21.50,28.60
88.20,1.28,23.20,21.80,20.90,28.09
84.70,1.62,22.96,21.20,21.10,28.10
82.40,1.21,23.48,21.00,21.40,28.33
80.50,1.72,23.39,20.90,21.70,28.60
81.30,1.59,23.55,21.10,21.70,28.66
80.80,1.16,24.38,21.50,22.10,29.20
83.20,0.35,24.58,21.60,21.70,28.83
87.10,0.85,24.86,22.90,21.90,29.46
81.50,0.87,23.79,20.90,21.50,28.40
84.60,1.04,25.10,22.80,22.30,29.82
81.50,2.19,22.86,20.90,21.50,28.40
85.00,1.03,25.14,22.90,22.30,29.86
87.70,1.45,24.34,22.90,21.80,29.36
84.70,1.87,24.08,22.40,22.00,29.39
83.90,1.36,26.57,24.30,23.50,31.52
82.90,2.33,26.09,24.30,23.70,31.72
83.20,2.06,26.61,24.70,23.90,32.05
82.30,1.36,27.60,25.00,24.30,32.55
85.40,0.23,27.96,25.20,23.80,32.12
89.10,1.07,28.03,26.60,24.00,32.78
84.80,1.00,27.05,24.70,23.60,31.75
87.50,1.23,28.22,26.60,24.30,33.08
84.60,2.49,25.84,24.50,23.50,31.59
86.90,0.91,28.38,26.40,24.30,33.01
88.40,1.57,27.61,26.40,24.00,32.71
85.90,2.04,27.19,25.80,24.10,32.61
85.40,1.71,28.28,26.60,24.70,33.48
84.90,3.04,27.75,26.90,25.00,33.88
84.80,2.57,28.38,27.20,25.20,34.18
83.60,1.66,29.35,27.30,25.50,34.51
86.10,0.25,30.13,27.60,25.20,34.31
91.00,1.42,29.84,29.20,25.20,34.84
87.80,1.41,28.89,27.50,24.80,33.88
89.50,1.74,30.08,29.40,25.60,35.30
86.50,3.02,27.63,27.10,24.80,33.74
88.30,0.40,30.89,29.00,25.60,35.17
89.80,1.45,29.69,28.80,25.20,34.70
86.90,2.23,29.15,28.20,25.40,34.71
86.90,3.69,27.19,27.20,24.80,33.78
86.60,6.13,25.92,27.60,25.10,34.21
86.20,4.99,26.98,27.80,25.30,34.47
83.60,2.88,28.96,27.80,25.80,34.97
86.40,1.72,29.60,28.20,25.50,34.81
91.60,3.19,29.13,29.90,25.50,35.37
88.80,3.18,28.21,28.30,25.10,34.44
90.60,4.14,28.84,30.10,25.80,35.73
87.70,5.69,26.19,27.80,25.00,34.17
89.40,0.97,30.92,29.70,25.80,35.60
90.00,1.60,30.08,29.40,25.50,35.20
88.20,3.76,28.37,28.80,25.50,35.00
87.40,4.53,26.51,27.20,24.70,33.68
85.90,7.34,25.00,27.40,25.10,34.14
86.70,5.91,26.24,27.80,25.20,34.37
84.40,3.37,28.55,27.90,25.70,34.91
86.30,2.49,28.90,28.00,25.40,34.64
91.00,4.42,28.21,29.70,25.50,35.30
87.00,4.34,27.37,27.90,25.20,34.41
89.10,5.15,27.96,29.60,25.80,35.57
86.60,6.82,25.43,27.60,25.10,34.21
88.50,1.74,30.28,29.40,25.80,35.50
89.70,1.19,30.34,29.30,25.50,35.17
87.90,3.99,28.18,28.70,25.50,34.97
86.00,5.66,25.12,26.30,24.40,33.08
84.50,8.73,23.27,26.30,24.70,33.38
84.80,6.94,24.85,26.70,24.90,33.71
